repo_name,readme_length,github_wiki_length,readme_completeness,docstring_coverage,documentation_percentage,documentation_up_to_date,documentation_readability,code_examples_ratio
ARParser,7241,0,0.4,0.4944444444444444,0.2153033088235294,0.0526315789473684,21.546583922829587,0.0
authlib,8207,0,0.3333333333333333,0.2049099836333879,0.1571304455752761,0.33248730964467,17.832908405114136,0.0
BinaryFileReader,6966,0,0.2,0.7659574468085107,0.2582872928176795,0.2631578947368421,41.75701542776999,0.0
BlueSkySight,2716,0,0.2,0.7017543859649122,0.2108382726502963,0.0,16.513790849673203,0.0
CaesarCipher,8556,0,0.2,0.2647058823529412,0.629080118694362,1.0,19.326647033158817,0.0
ChromePasswordsStealer,2238,0,0.2,0.8,0.1415730337078651,0.6666666666666666,27.220476190476194,0.0
ComPP,5792,0,0.2666666666666666,0.5,0.0651340996168582,0.0,11.845273873413408,0.0
ComboundFileParser,1829,0,0.2,0.7346938775510204,0.1951219512195122,0.0,32.19800000000001,0.0
Cr0wl3r,8118,0,0.2,0.782608695652174,0.4185788304959289,0.4347826086956521,21.39794792899409,0.0
cyclonedx-buildroot,6396,0,0.1333333333333333,0.0,0.3325,0.0,19.420864197530864,0.0
DiskAnalyzer,3575,0,0.2,0.8681318681318682,0.1536910044372731,0.1428571428571428,41.25639311043567,0.0
python-doubleratchet,2398,0,0.2,0.5913461538461539,0.2902516491570975,0.0869565217391304,23.29874655647384,0.0
ElfAnalyzer,2155,0,0.2,0.4038461538461538,0.0640657084188911,0.0298507462686567,37.11271689497717,0.0
EntropyAnalysis,2871,0,0.2,0.84,0.1341463414634146,1.0,43.75273279352227,0.0
EntropyEncoding,3492,0,0.2,0.8333333333333335,0.1475409836065573,0.5,35.8664459161148,0.0
ExploitDBSighting,3350,0,0.2666666666666666,0.5,0.0923076923076923,0.0,21.760109289617493,0.0
FediVuln,4603,0,0.3333333333333333,0.28125,0.1900826446280991,0.0,16.173427271136006,0.0
filecrawler,6557,0,0.2666666666666666,0.095617529880478,0.0506784824148435,0.0255474452554744,24.274074074074075,0.0
GistSight,1967,0,0.0666666666666666,0.4166666666666667,0.09765625,0.0,19.788947963800904,0.0
KEVSight,1791,0,0.2,0.1666666666666666,0.0707070707070707,0.0,20.656212319790303,0.0
MISPSight,1454,0,0.2,0.4545454545454545,0.1074380165289256,0.0,16.681650230111774,0.0
MetasploitSight,1561,0,0.2,0.7,0.1531728665207877,0.0,19.89907859078592,0.0
MiniVault,2085,0,0.2,0.88,0.4158031088082902,0.7142857142857143,23.28298490127759,0.0
NonCipher,9118,0,0.2,0.3636363636363636,0.3601340033500838,0.2105263157894736,12.08617701485269,0.0
NucleiVuln,2420,0,0.2666666666666666,0.6,0.0742049469964664,0.0,20.12014184397164,0.0
python-omemo,2514,0,0.3333333333333333,0.6532258064516128,0.2965329924908132,0.0476190476190476,16.703859495220865,0.0
python-oldmemo,2242,0,0.2,0.5633802816901409,0.2870605291772381,0.032258064516129,17.949373065015482,0.0
PBinCLI,6224,0,0.2666666666666666,0.0303030303030303,0.054160125588697,0.0666666666666666,17.127700421940933,0.0
PeInjector,7900,0,0.2,0.9310344827586208,0.1413502109704641,0.1428571428571428,24.18672244170733,0.0
PyAsyncDNS,2960,0,0.2,0.9111111111111112,0.2968980797636632,0.0,31.524593088071352,0.0
PyMOSP,3271,0,0.2,0.1944444444444444,0.2538699690402476,0.2222222222222222,17.783664352155117,0.0
pymultitor,6285,0,0.2666666666666666,0.0204081632653061,0.0374449339207048,0.0869565217391304,14.684416488983654,0.0
PyPeLoader,2217,0,0.2,0.9838709677419356,0.1410098522167487,0.1470588235294117,29.57798898071626,0.0
PyPePacker,1859,0,0.2,0.6666666666666665,0.0601336302895322,0.0,27.315124378109456,0.0
PyPeUrlLoader,1894,0,0.2,0.6666666666666665,0.1453488372093023,0.0,29.89205588822356,0.0
QBDI,9020,0,0.4,0.0,0.1316105769230769,0.1041666666666666,18.199817977316343,0.0
pyric,30597,0,0.4,0.5027173913043478,0.2485641653328311,0.3292682926829268,14.690260567458022,0.0
pyrogram-tgcrypto,4319,0,0.1333333333333333,0.0,0.134441087613293,0.0,16.9673597359736,0.0
PyWaves-Curve25519,1191,0,0.1333333333333333,0.0,0.032258064516129,0.0,20.115762237762244,0.0
RC6Encryption,6873,0,0.2,0.923076923076923,0.2731481481481481,0.6153846153846154,22.77227027027028,0.0
RecordFlux,1577,1,0.0,0.0336813742000673,0.0104768441724341,0.026184058529072,15.730501711814425,0.0
RestrictedPython,2997,0,0.1333333333333333,0.5,0.1473975126669737,0.0268817204301075,16.264728853350125,0.0
sfchat,4740,0,0.2,0.1433447098976109,0.1525080906148867,0.0066666666666666,13.625192492288637,0.0
slhdsa,1779,0,0.0,0.0109289617486338,0.0054054054054054,0.2241379310344827,9.21571851851852,0.0
secretstorage,2818,0,0.1333333333333333,0.4655172413793103,0.2501966955153422,0.1666666666666666,20.472755133312905,0.0
ShadowSight,2828,0,0.2666666666666666,0.5882352941176471,0.1737193763919821,0.0,21.09735897435897,0.0
shellcodetester,5770,0,0.1333333333333333,0.3548387096774194,0.0965171192443919,0.019047619047619,19.590987714987723,0.0
SimpleEnvs-Python,12107,0,0.4666666666666667,0.8762214983713354,0.2040128410914927,0.3017241379310345,24.80514353077432,0.0
SupplyChainAnalysis,2715,0,0.2,0.923076923076923,0.2219827586206896,1.7142857142857142,34.74914786967419,0.0
telecrypto,4429,0,0.1333333333333333,0.0,0.1350531107738998,0.0,16.19146227929374,0.0
tgcrypto-pyroblack,4295,0,0.1333333333333333,0.0,0.1086691086691086,0.0,17.500434525569023,0.0
tgcrypto,4279,0,0.1333333333333333,0.0,0.1350531107738998,0.0,17.460903537294318,0.0
TreeCrypt,6963,0,0.0666666666666666,0.0,0.0229226361031518,0.7142857142857143,14.437543091655268,0.0
python-twomemo,1930,0,0.2,0.4553571428571428,0.2100103199174406,0.0204081632653061,17.793845381526108,0.0
Unalix,2095,0,0.1333333333333333,0.1182795698924731,0.1870279875610839,0.0238095238095238,31.926446280991737,0.0
Unalix-Rev,1747,0,0.1333333333333333,0.1170212765957446,0.1870279875610839,0.0238095238095238,28.11817073170732,0.0
VaultAPI-Client-python,3625,0,0.1333333333333333,0.84,0.3263327948303716,0.0689655172413793,26.059281210592683,0.0
VulnTrain,3156,0,0.2,0.0978260869565217,0.092419080068143,0.0,19.28125242889949,0.0
python-whirlpool,2474,0,0.2,0.4864864864864865,0.0703517587939698,0.0,13.690753465943342,0.0
Win32Hooking,2247,0,0.2,0.9066666666666666,0.1378780112762685,0.0714285714285714,19.414363636363635,0.0
python-x3dh,2304,0,0.1333333333333333,0.7565217391304347,0.3247699386503067,0.0638297872340425,18.10485347985348,0.0
python-xeddsa,3247,0,0.2666666666666666,0.3260869565217391,0.2222222222222222,0.0,15.83126727732362,0.0
yubiotp,2585,0,0.1333333333333333,0.3431372549019608,0.2406985573272589,0.1034482758620689,11.915292217327462,0.0
abi3info,1915,0,0.2666666666666666,0.3921568627450981,0.0194058814748469,0.2,20.32447199265381,0.0
certbot,18,33126,0.0,0.43192048012003,0.2275138246247602,0.0059281215264912,13.734902609863749,0.0
acme-mgmtserver,12078,0,0.2666666666666666,0.1130136986301369,0.051703526598924,0.0223463687150838,14.003375460768826,0.0
acquire,2772,0,0.2666666666666666,0.1477477477477477,0.07758061025752,0.0,12.409139784946236,0.0
AEnv,16866,0,0.4666666666666667,0.0,0.036468330134357,0.0,22.852630456588773,0.0
aerleon,8474,0,0.4,0.3497418244406197,0.1199326303456356,0.0373230373230373,12.507158678079428,0.0
ByteBomber,3117,0,0.1333333333333333,0.0,0.0,0.25,7.558589917885694,0.0
HylexCrypt-TU2050,4435,0,0.3333333333333333,0.0303030303030303,0.0689990281827016,0.3703703703703703,14.45340696233538,0.0
ai-model-sentinel,11547,0,0.4,0.0,0.1301675977653631,0.0307898259705488,16.878325203252036,0.0
aia-chaser,3246,0,0.0666666666666666,0.4822695035460992,0.255281690140845,0.0307692307692307,14.289046576941312,0.0
androset,1156,0,0.2,0.0,0.0421052631578947,0.0,35.71634146341464,0.0
pwntools,3042,131,0.2666666666666666,0.4339366515837104,0.2247848411648317,0.0965005302226935,21.491742386460626,0.0
anonlink-client,2073,0,0.1333333333333333,0.2807017543859649,0.1914654688377316,0.0,15.939227393692317,0.0
ansi2image,1898,0,0.1333333333333333,0.2465753424657534,0.0857632933104631,0.0,21.347619047619045,0.0
agecalculator,3357,0,0.3333333333333333,0.15,0.1102941176470588,0.6666666666666666,17.523475103734437,0.0
airlinelookup,3249,0,0.3333333333333333,0.15,0.1102941176470588,0.6666666666666666,17.226653225806448,0.0
airports,3406,0,0.3333333333333333,0.15,0.1102941176470588,0.6666666666666666,17.089160079051386,0.0
airquality,3371,0,0.3333333333333333,0.15,0.1102941176470588,0.6666666666666666,15.968507157464211,0.0
antonym,3172,0,0.3333333333333333,0.15,0.1102941176470588,0.6666666666666666,16.772283916849016,0.0
appstorescraper,16602,0,0.4666666666666667,0.15,0.1102941176470588,0.6666666666666666,23.859838568935427,0.0
articleideas,3459,0,0.3333333333333333,0.15,0.1102941176470588,0.6666666666666666,18.50272821576764,0.0
babynamegenerator,3515,0,0.3333333333333333,0.15,0.1102941176470588,0.6666666666666666,18.4218,0.0
barcodegenerator,3976,0,0.3333333333333333,0.15,0.1102941176470588,0.6666666666666666,20.672255154639178,0.0
bible,3308,0,0.3333333333333333,0.15,0.1102941176470588,0.6666666666666666,15.729716513111269,0.0
binlookup,3509,0,0.3333333333333333,0.0,0.1071428571428571,0.0,16.51743618201998,0.0
bmicalculator,3833,0,0.3333333333333333,0.15,0.1102941176470588,0.6666666666666666,15.543721340388007,0.0
bucketlist,3083,0,0.3333333333333333,0.15,0.1102941176470588,0.3333333333333333,16.998452599388383,0.0
captchagenerator,3831,0,0.3333333333333333,0.15,0.1102941176470588,0.3333333333333333,19.686189956331884,0.0
cardgenerator,4579,0,0.3333333333333333,0.15,0.1102941176470588,0.6666666666666666,17.051940928270046,0.0
cardvalidator,3533,0,0.3333333333333333,0.15,0.1102941176470588,0.6666666666666666,17.293641944990174,0.0
carmodels,4997,0,0.3333333333333333,0.15,0.1102941176470588,0.6666666666666666,24.19068965517241,0.0
chartgenerator,4031,0,0.3333333333333333,0.15,0.1102941176470588,0.6666666666666666,19.585960982658964,0.0
chucknorris,3237,0,0.3333333333333333,0.15,0.1102941176470588,0.3333333333333333,15.16215053763441,0.0
citieslookup,9175,0,0.3333333333333333,0.15,0.1102941176470588,0.6666666666666666,33.37959566987416,0.0
counter,3322,0,0.3333333333333333,0.1818181818181818,0.1244239631336405,0.5,16.6797827198364,0.0
