repo_name,readme_length,readme_completeness,docstring_coverage,documentation_percentage,documentation_up_to_date,documentation_readability
cryptography,2251,0.1333333333333333,0.0622140896614821,0.0372049761655621,0.7768987341772152,14.35395143716606
M2Crypto,2817,0.2666666666666666,0.2844980489535296,0.1885981613447206,0.1008771929824561,16.053969506390676
PyNaCl,889,0.0666666666666666,0.2967032967032967,0.2109819826846579,0.1944444444444444,18.92086870968733
PyCrypto,4949,0.26666666666666666,0.41940657578187657,0.36036341702480584,0.3316582914572864,10.701879079816809
